Date,Open,High,Low,Close,Adj Close,Volume
2009-11-16,233.979996,240.190002,233.979996,238.949997,169.889709,236900
2009-11-17,238.990005,240.500000,236.580002,239.009995,169.932358,224300
2009-11-18,239.699997,239.699997,233.100006,235.800003,167.650101,160000
2009-11-19,234.649994,235.630005,228.889999,231.119995,164.322678,174100
2009-11-20,229.000000,229.809998,225.360001,225.660004,160.440750,267200
2009-11-23,227.339996,230.509995,226.119995,228.389999,162.381729,237000
2009-11-24,228.039993,229.639999,225.289993,229.190002,163.508896,228200
2009-11-25,227.750000,231.429993,227.750000,230.350006,164.336487,205800
2009-11-27,221.020004,225.990005,220.940002,221.190002,157.801559,166700
2009-11-30,223.440002,227.190002,222.220001,227.080002,162.003555,357000
2009-12-01,227.960007,229.880005,224.899994,226.740005,161.761032,257600
2009-12-02,227.000000,229.250000,226.259995,227.710007,162.453079,218000
2009-12-03,227.479996,228.509995,224.229996,225.000000,160.519669,274100
2009-12-04,229.009995,229.009995,216.300003,223.490005,159.442368,880400
2009-12-07,222.649994,225.910004,220.000000,221.529999,158.044113,548300
2009-12-08,220.000000,225.619995,219.500000,223.869995,159.713470,313100
2009-12-09,224.490005,227.490005,222.050003,227.000000,161.946533,229000
2009-12-10,226.630005,230.000000,226.630005,227.529999,162.324615,194500
2009-12-11,227.539993,228.320007,225.229996,226.009995,161.240189,189400
2009-12-14,226.100006,228.190002,224.229996,226.169998,161.354431,156500
2009-12-15,226.759995,227.490005,223.720001,226.919998,161.889481,375600
2009-12-16,228.500000,235.580002,228.500000,234.550003,167.332870,404400
2009-12-17,232.750000,236.979996,231.809998,234.899994,167.582520,355300
2009-12-18,235.309998,239.669998,234.470001,238.809998,170.371979,878500
2009-12-21,239.399994,240.869995,237.970001,240.800003,171.791702,259400
2009-12-22,240.679993,241.419998,238.389999,239.350006,170.757233,223000
2009-12-23,239.350006,240.350006,237.860001,238.679993,170.279282,191200
2009-12-24,238.130005,240.429993,238.130005,239.649994,170.971268,77300
2009-12-28,240.000000,240.000000,237.710007,239.369995,170.771530,214200
2009-12-29,239.699997,241.660004,238.720001,238.899994,170.436218,332200
2009-12-30,239.690002,239.779999,236.970001,237.270004,169.273361,166500
2009-12-31,237.990005,238.039993,232.199997,232.199997,165.656281,260300
2010-01-04,236.050003,239.600006,233.520004,238.580002,170.207947,238700
2010-01-05,239.050003,239.669998,236.759995,239.610001,170.942810,198800
2010-01-06,238.509995,238.649994,234.059998,234.669998,167.418396,278500
2010-01-07,234.660004,237.699997,234.000000,237.250000,169.259048,218300
2010-01-08,237.460007,239.410004,236.750000,238.919998,170.450546,224400
